,Closed right sidebar,Deleted comment,Resetted password,Viewed /auth/login Page,Clicked View all announcements,Viewed /onboarding Page,End,Viewed /invitation Page,Viewed link,Created comment,Viewed /auth/reset-password Page,Finished onboarding,Viewed space,Viewed /auth/register Page,Viewed /about/privacy-policy Page,Viewed content,Opened right sidebar from a content list item,Logged out,Opened right sidebar from the toolbar,Downloaded file,Opened intercom,Logged in,Viewed /onboarding/space Page,Viewed /about/tos Page,Viewed announcements,Start,Viewed / Page,Opened left sidebar,Viewed /auth/instant-login Page,Viewed folder,Opened drop down menu for comment,Viewed notifications
Closed right sidebar,0.0,0.0,0.0,0.0,0.0,0.0,0.07317073170731707,0.0,0.07317073170731707,0.0,0.0,0.0,0.17073170731707318,0.0,0.0,0.17073170731707318,0.04878048780487805,0.0,0.04878048780487805,0.0,0.0,0.07317073170731707,0.0,0.0,0.0,0.0,0.0,0.024390243902439025,0.0,0.3170731707317073,0.0,0.0
Deleted comment,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Resetted password,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Viewed /auth/login Page,0.0,0.0,0.0,0.10240963855421686,0.006024096385542169,0.0,0.18674698795180722,0.006024096385542169,0.0,0.0,0.04216867469879518,0.0,0.1927710843373494,0.0,0.0,0.0,0.0,0.0963855421686747,0.0,0.0,0.0,0.25301204819277107,0.0,0.0,0.0,0.0,0.0,0.012048192771084338,0.0,0.10240963855421686,0.0,0.0
Clicked View all announcements,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9963369963369964,0.0,0.0,0.003663003663003663,0.0,0.0,0.0,0.0
Viewed /onboarding Page,0.0,0.0,0.0,0.0,0.023809523809523808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20238095238095238,0.0,0.0,0.0,0.011904761904761904,0.0,0.0,0.0,0.0,0.2976190476190476,0.0,0.0,0.0,0.0,0.0,0.011904761904761904,0.0,0.4523809523809524,0.0,0.0
End,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewed /invitation Page,0.0,0.0,0.0,0.0,0.0,0.975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Viewed link,0.0,0.0,0.0,0.0006234413965087282,0.0,0.0,0.334788029925187,0.0,0.16895261845386533,0.0,0.0,0.0,0.32980049875311723,0.0,0.0,0.13403990024937656,0.0012468827930174563,0.0006234413965087282,0.0,0.0012468827930174563,0.0,0.026184538653366583,0.0,0.0,0.0,0.0,0.0,0.0012468827930174563,0.0,0.0012468827930174563,0.0,0.0
Created comment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Viewed /auth/reset-password Page,0.0,0.0,0.11764705882352941,0.058823529411764705,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.5294117647058824,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.0,0.058823529411764705,0.0,0.0
Finished onboarding,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Viewed space,0.0006970260223048327,0.0,0.0,0.0060408921933085506,0.02741635687732342,0.00046468401486988845,0.10025557620817843,0.00546003717472119,0.00011617100371747211,0.0,0.0,0.0,0.005924721189591078,0.0,0.0,0.001974907063197026,0.0024395910780669145,0.0005808550185873606,0.0,0.00011617100371747211,0.00011617100371747211,0.051347583643122675,0.0025557620817843866,0.0,0.00034851301115241634,0.0,0.0,0.03856877323420074,0.0,0.7553438661710037,0.0,0.00023234200743494423
Viewed /auth/register Page,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Viewed /about/privacy-policy Page,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Viewed content,0.0,0.0,0.0,0.0008045052292839903,0.0,0.0,0.34365781710914456,0.0010726736390453205,0.014749262536873156,0.00013408420488066506,0.0,0.0,0.14896755162241887,0.0,0.0,0.2606596942880129,0.0002681684097613301,0.00013408420488066506,0.002011263073209976,0.1465540359345669,0.00013408420488066506,0.06798069187449718,0.0,0.0,0.0,0.0,0.0,0.002279431482971306,0.00013408420488066506,0.010458567980691875,0.0,0.0
Opened right sidebar from a content list item,0.3220338983050847,0.0,0.0,0.0,0.0,0.0,0.01694915254237288,0.0,0.0,0.0,0.0,0.0,0.13559322033898305,0.0,0.0,0.01694915254237288,0.03389830508474576,0.0,0.0,0.1864406779661017,0.0,0.2033898305084746,0.0,0.0,0.0,0.0,0.0,0.01694915254237288,0.0,0.06779661016949153,0.0,0.0
Logged out,0.0,0.0,0.02666666666666667,0.02666666666666667,0.0,0.0,0.4666666666666667,0.0,0.013333333333333334,0.0,0.08,0.0,0.02666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.013333333333333334,0.0,0.02666666666666667,0.0,0.0,0.0
Opened right sidebar from the toolbar,0.5555555555555556,0.0,0.0,0.0,0.0,0.0,0.037037037037037035,0.0,0.0,0.0,0.0,0.0,0.07407407407407407,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.1111111111111111,0.0,0.07407407407407407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037037037037037035,0.0,0.0
Downloaded file,0.0,0.0,0.0,0.0016474464579901153,0.0,0.0008237232289950577,0.45799011532125206,0.0008237232289950577,0.011532125205930808,0.0,0.0,0.0,0.11367380560131796,0.0,0.0,0.3113673805601318,0.0008237232289950577,0.0008237232289950577,0.0032948929159802307,0.028830313014827018,0.0,0.047775947281713346,0.0,0.0,0.0,0.0,0.0,0.0016474464579901153,0.0,0.018121911037891267,0.0,0.0008237232289950577
Opened intercom,0.0,0.0,0.0,0.0,0.0,0.0,0.2777777777777778,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.0,0.16666666666666666,0.0,0.1111111111111111
Logged in,0.0,0.0,0.0052417006406523005,0.0023296447291788003,0.0033003300330033004,0.0,0.0378567268491555,0.0019413706076490001,0.0013589594253543,0.0,0.0005824111822947001,0.00038827412152980003,0.7936323044069112,0.0,0.00019413706076490002,0.06581246359930111,0.0005824111822947001,0.0019413706076490001,0.00019413706076490002,0.0013589594253543,0.0,0.0083478936128907,0.0,0.00019413706076490002,0.0,0.0,0.0,0.0025237817899437004,0.0,0.07202484954377791,0.0,0.00019413706076490002
Viewed /onboarding/space Page,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.08,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.0,0.0
Viewed /about/tos Page,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Viewed announcements,0.0,0.0,0.0,0.0,0.0,0.0,0.10869565217391304,0.0,0.0,0.0,0.0,0.0,0.8804347826086957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010869565217391304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Start,0.00018950161076369148,0.0,0.00018950161076369148,0.012128103088876255,0.0005685048322910744,0.00018950161076369148,0.0,0.0020845177184006065,0.008527572484366117,0.0,0.0,0.00037900322152738296,0.07750615880234982,0.00018950161076369148,0.0,0.032025772219063865,0.0,0.0013265112753458404,0.0005685048322910744,0.011749099867348872,0.0,0.7265491756679932,0.00018950161076369148,0.0,0.0,0.0,0.0,0.0028425241614553724,0.0,0.1226075421641084,0.0,0.00018950161076369148
Viewed / Page,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Opened left sidebar,0.0,0.0,0.0,0.006666666666666667,0.024444444444444446,0.0,0.1688888888888889,0.0,0.0,0.0,0.0,0.0,0.08666666666666667,0.0,0.0,0.0044444444444444444,0.006666666666666667,0.07111111111111111,0.0,0.0,0.03111111111111111,0.06444444444444444,0.0,0.0,0.0022222222222222222,0.0,0.0,0.08888888888888889,0.0,0.43333333333333335,0.0,0.011111111111111112
Viewed /auth/instant-login Page,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Viewed folder,0.0,0.0,0.0,0.0006331518298087882,0.0,0.0,0.04761301760162087,0.00012663036596175764,0.1458781815879448,0.0,0.0,0.0,0.2375585665442573,0.0,0.0,0.554894263644422,0.002785868051158668,0.0,0.0002532607319235153,0.0,0.0,0.008610864885399519,0.0,0.0,0.0,0.0,0.0,0.0015195643915410916,0.0,0.0,0.0,0.00012663036596175764
Opened drop down menu for comment,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Viewed notifications,0.0,0.0,0.0,0.0,0.21428571428571427,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.0,0.14285714285714285,0.0,0.07142857142857142
