Saved changes,Selected all topics,Logged in through login-screen,Viewed content,Viewed feed/topic,Redirecting to media,Viewed notification,Viewed feedItem,Navigating to feed overview,Viewed feed/findOne,Viewed content/all,Viewed space,Logged in,Viewed /auth/login Page,UTM events,Viewed link,Navigating to content overview,Viewed notifications,Opened intercom,Created content,Opened drop down menu for feed item,Viewed feed/all,Viewed /auth/register Page,Viewed content/topic,Selected topic,Created comment,Uploaded file,Downloaded file,Logged out
,,,,0,,,,,,77,,,,,,,,,,,0,,9,,,,,
,,,,0,,,,,,160,,,,,,,,,,,0,,585,,,,,
,,,,0,,,,,,24,,,,,,,,,,,0,,21,,,,,
,,,,0,,,,,,-1,,,,,,,,,,,0,,-1,,,,,
,,,,0,,,,,,562,,,,,,,,,,,0,,424,,,,,
,,,,0,,,,,,14,,,,,,,,,,,0,,-1,,,,,
,,,,0,,,,,,42,,,,,,,,,,,0,,892,,,,,
,,,,0,,,,,,9,,,,,,,,,,,0,,-1,,,,,
,,,,0,,,,,,4,,,,,,,,,,,0,,-1,,,,,
,,,,0,,,,,,9,,,,,,,,,,,0,,31,,,,,
,,,,0,,,,,,-1,,,,,,,,,,,0,,0,,,,,
,,,,0,,,,,,14,,,,,,,,,,,0,,-1,,,,,
,,,,0,,,,,,32,,,,,,,,,,,0,,5,,,,,
,,,,0,,,,,,34,,,,,,,,,,,0,,-1,,,,,
,,,,0,,,,,,28,,,,,,,,,,,0,,7,,,,,
,,,,0,,,,,,9,,,,,,,,,,,0,,15,,,,,
,,,,0,,,,,,1,,,,,,,,,,,0,,24,,,,,
,,,,0,,,,,,328,,,,,,,,,,,0,,0,,,,,
,,,,0,,,,,,307,,,,,,,,,,,0,,-1,,,,,
,,,,0,,,,,,253,,,,,,,,,,,0,,1,,,,,
,,,,0,,,,,,-1,,,,,,,,,,,0,,1107,,,,,
,,,,0,,,,,,-1,,,,,,,,,,,0,,20,,,,,
,,,,0,,,,,,-1,,,,,,,,,,,0,,102,,,,,
,,,,0,,,,,,60,,,,,,,,,,,0,,-1,,,,,
,,,,0,,,,,,-1,,,,,,,,,,,0,,-1,,,,,
,,,,0,,,,,,53,,,,,,,,,,,0,,30,,,,,
,,,,0,,,,,,0,,,,,,,,,,,0,,25,,,,,
,,,,0,,,,,,-1,,,,,,,,,,,0,,648,,,,,
,,,,0,,,,,,5,,,,,,,,,,,0,,-1,,,,,
,,,,0,,,,,,34,,,,,,,,,,,0,,-1,,,,,
,,,,0,,,,,,7,,,,,,,,,,,0,,10,,,,,
,,,,0,,,,,,3,,,,,,,,,,,0,,13,,,,,
,,,,0,,,,,,74,,,,,,,,,,,0,,0,,,,,
,,,,0,,,,,,-1,,,,,,,,,,,0,,14,,,,,
,,,,0,,,,,,-1,,,,,,,,,,,0,,-1,,,,,
,,,,0,,,,,,-1,,,,,,,,,,,0,,0,,,,,
,,,,0,,,,,,7,,,,,,,,,,,0,,1059,,,,,
,,,,0,,,,,,5,,,,,,,,,,,0,,-1,,,,,
,,,,0,,,,,,25,,,,,,,,,,,0,,26,,,,,
,,,,0,,,,,,4,,,,,,,,,,,0,,927,,,,,
,,,,0,,,,,,32,,,,,,,,,,,0,,230,,,,,
,,,,0,,,,,,-1,,,,,,,,,,,0,,8,,,,,
,,,,0,,,,,,-1,,,,,,,,,,,0,,10,,,,,
,,,,0,,,,,,4,,,,,,,,,,,0,,16,,,,,
,,,,0,,,,,,53,,,,,,,,,,,0,,-1,,,,,
,,,,0,,,,,,7,,,,,,,,,,,0,,8,,,,,
,,,,0,,,,,,16,,,,,,,,,,,0,,5,,,,,
,,,,0,,,,,,4,,,,,,,,,,,0,,181,,,,,
,,,,0,,,,,,8,,,,,,,,,,,0,,125,,,,,
,,,,0,,,,,,6,,,,,,,,,,,0,,-1,,,,,
,,,,0,,,,,,0,,,,,,,,,,,0,,67,,,,,
,,,,0,,,,,,4,,,,,,,,,,,0,,2,,,,,
,,,,0,,,,,,17,,,,,,,,,,,0,,-1,,,,,
,,,,0,,,,,,1,,,,,,,,,,,0,,21,,,,,
,,,,0,,,,,,4,,,,,,,,,,,0,,-1,,,,,
,,,,0,,,,,,7,,,,,,,,,,,0,,56,,,,,
,,,,0,,,,,,8,,,,,,,,,,,0,,15,,,,,
,,,,0,,,,,,0,,,,,,,,,,,0,,2,,,,,
,,,,0,,,,,,0,,,,,,,,,,,0,,-1,,,,,
,,,,0,,,,,,2,,,,,,,,,,,0,,2,,,,,
,,,,0,,,,,,0,,,,,,,,,,,0,,438,,,,,
,,,,0,,,,,,0,,,,,,,,,,,0,,19,,,,,
,,,,0,,,,,,0,,,,,,,,,,,0,,-1,,,,,
,,,,0,,,,,,0,,,,,,,,,,,0,,375,,,,,
,,,,0,,,,,,0,,,,,,,,,,,0,,89,,,,,
,,,,0,,,,,,-1,,,,,,,,,,,0,,-1,,,,,
,,,,0,,,,,,1,,,,,,,,,,,0,,-1,,,,,
,,,,0,,,,,,-1,,,,,,,,,,,0,,-1,,,,,
,,,,0,,,,,,6,,,,,,,,,,,0,,1,,,,,
,,,,0,,,,,,-1,,,,,,,,,,,0,,-1,,,,,
,,,,0,,,,,,36,,,,,,,,,,,0,,88,,,,,
,,,,0,,,,,,-1,,,,,,,,,,,0,,-1,,,,,
,,,,0,,,,,,-1,,,,,,,,,,,0,,58,,,,,
,,,,0,,,,,,2,,,,,,,,,,,0,,917,,,,,
,,,,0,,,,,,14,,,,,,,,,,,0,,-1,,,,,
,,,,0,,,,,,70,,,,,,,,,,,0,,-1,,,,,
,,,,0,,,,,,129,,,,,,,,,,,0,,79,,,,,
,,,,0,,,,,,13,,,,,,,,,,,0,,4,,,,,
,,,,0,,,,,,1,,,,,,,,,,,0,,4,,,,,
,,,,0,,,,,,6,,,,,,,,,,,0,,3,,,,,
,,,,0,,,,,,6,,,,,,,,,,,0,,4,,,,,
,,,,0,,,,,,3,,,,,,,,,,,0,,0,,,,,
,,,,0,,,,,,74,,,,,,,,,,,0,,25,,,,,
,,,,0,,,,,,317,,,,,,,,,,,0,,519,,,,,
,,,,0,,,,,,8,,,,,,,,,,,0,,855,,,,,
,,,,0,,,,,,-1,,,,,,,,,,,0,,322,,,,,
,,,,0,,,,,,8,,,,,,,,,,,0,,452,,,,,
,,,,0,,,,,,17,,,,,,,,,,,0,,-1,,,,,
,,,,0,,,,,,42,,,,,,,,,,,0,,-1,,,,,
,,,,0,,,,,,0,,,,,,,,,,,0,,63,,,,,
,,,,0,,,,,,0,,,,,,,,,,,0,,0,,,,,
,,,,0,,,,,,96,,,,,,,,,,,0,,9,,,,,
,,,,0,,,,,,0,,,,,,,,,,,0,,39,,,,,
,,,,0,,,,,,-1,,,,,,,,,,,0,,987,,,,,
,,,,0,,,,,,792,,,,,,,,,,,0,,13,,,,,
,,,,0,,,,,,5,,,,,,,,,,,0,,493,,,,,
,,,,0,,,,,,176,,,,,,,,,,,0,,31,,,,,
,,,,0,,,,,,0,,,,,,,,,,,0,,0,,,,,
,,,,0,,,,,,-1,,,,,,,,,,,0,,0,,,,,
,,,,0,,,,,,2,,,,,,,,,,,0,,18,,,,,
,,,,0,,,,,,3,,,,,,,,,,,0,,28,,,,,
,,,,0,,,,,,13,,,,,,,,,,,0,,149,,,,,
,,,,0,,,,,,-1,,,,,,,,,,,0,,-1,,,,,
,,,,0,,,,,,216,,,,,,,,,,,0,,258,,,,,
,,,,0,,,,,,246,,,,,,,,,,,0,,234,,,,,
,,,,0,,,,,,-1,,,,,,,,,,,0,,4,,,,,
,,,,0,,,,,,22,,,,,,,,,,,0,,-1,,,,,
,,,,0,,,,,,-1,,,,,,,,,,,0,,80,,,,,
,,,,0,,,,,,5,,,,,,,,,,,0,,609,,,,,
,,,,0,,,,,,-1,,,,,,,,,,,0,,-1,,,,,
,,,,0,,,,,,24,,,,,,,,,,,0,,78,,,,,
,,,,0,,,,,,124,,,,,,,,,,,0,,2,,,,,
,,,,0,,,,,,2,,,,,,,,,,,0,,-1,,,,,
,,,,0,,,,,,3,,,,,,,,,,,0,,206,,,,,
,,,,0,,,,,,21,,,,,,,,,,,0,,64,,,,,
,,,,0,,,,,,0,,,,,,,,,,,0,,178,,,,,
,,,,0,,,,,,0,,,,,,,,,,,0,,10,,,,,
,,,,0,,,,,,0,,,,,,,,,,,0,,154,,,,,
,,,,0,,,,,,0,,,,,,,,,,,0,,-1,,,,,
,,,,0,,,,,,0,,,,,,,,,,,0,,-1,,,,,
,,,,0,,,,,,0,,,,,,,,,,,0,,-1,,,,,
,,,,0,,,,,,0,,,,,,,,,,,0,,-1,,,,,
,,,,0,,,,,,12,,,,,,,,,,,0,,-1,,,,,
,,,,0,,,,,,16,,,,,,,,,,,0,,-1,,,,,
,,,,0,,,,,,11,,,,,,,,,,,0,,258,,,,,
,,,,0,,,,,,-1,,,,,,,,,,,,,384,,,,,
,,,,0,,,,,,10,,,,,,,,,,,,,12,,,,,
,,,,0,,,,,,0,,,,,,,,,,,,,116,,,,,
,,,,0,,,,,,0,,,,,,,,,,,,,-1,,,,,
,,,,0,,,,,,0,,,,,,,,,,,,,-1,,,,,
,,,,0,,,,,,3,,,,,,,,,,,,,-1,,,,,
,,,,0,,,,,,-1,,,,,,,,,,,,,-1,,,,,
,,,,0,,,,,,19,,,,,,,,,,,,,530,,,,,
,,,,0,,,,,,14,,,,,,,,,,,,,-1,,,,,
,,,,0,,,,,,8,,,,,,,,,,,,,174,,,,,
,,,,0,,,,,,12,,,,,,,,,,,,,8,,,,,
,,,,0,,,,,,0,,,,,,,,,,,,,1,,,,,
,,,,0,,,,,,0,,,,,,,,,,,,,598,,,,,
,,,,0,,,,,,0,,,,,,,,,,,,,-1,,,,,
,,,,0,,,,,,9,,,,,,,,,,,,,486,,,,,
,,,,0,,,,,,0,,,,,,,,,,,,,65,,,,,
,,,,0,,,,,,4,,,,,,,,,,,,,387,,,,,
,,,,0,,,,,,8,,,,,,,,,,,,,216,,,,,
,,,,0,,,,,,11,,,,,,,,,,,,,16,,,,,
,,,,0,,,,,,7,,,,,,,,,,,,,14,,,,,
,,,,0,,,,,,-1,,,,,,,,,,,,,113,,,,,
,,,,0,,,,,,467,,,,,,,,,,,,,25,,,,,
,,,,0,,,,,,47,,,,,,,,,,,,,16,,,,,
,,,,0,,,,,,13,,,,,,,,,,,,,8,,,,,
,,,,0,,,,,,8,,,,,,,,,,,,,24,,,,,
,,,,0,,,,,,0,,,,,,,,,,,,,-1,,,,,
,,,,0,,,,,,0,,,,,,,,,,,,,-1,,,,,
,,,,0,,,,,,0,,,,,,,,,,,,,0,,,,,
,,,,0,,,,,,14,,,,,,,,,,,,,5,,,,,
,,,,0,,,,,,0,,,,,,,,,,,,,-1,,,,,
,,,,0,,,,,,3,,,,,,,,,,,,,1157,,,,,
,,,,0,,,,,,0,,,,,,,,,,,,,-1,,,,,
,,,,0,,,,,,0,,,,,,,,,,,,,1,,,,,
,,,,0,,,,,,0,,,,,,,,,,,,,0,,,,,
,,,,0,,,,,,5,,,,,,,,,,,,,-1,,,,,
,,,,0,,,,,,0,,,,,,,,,,,,,-1,,,,,
,,,,0,,,,,,0,,,,,,,,,,,,,1,,,,,
,,,,0,,,,,,44,,,,,,,,,,,,,1,,,,,
,,,,0,,,,,,-1,,,,,,,,,,,,,-1,,,,,
,,,,0,,,,,,6,,,,,,,,,,,,,0,,,,,
,,,,0,,,,,,8,,,,,,,,,,,,,0,,,,,
,,,,0,,,,,,14,,,,,,,,,,,,,17,,,,,
,,,,0,,,,,,30,,,,,,,,,,,,,33,,,,,
,,,,0,,,,,,15,,,,,,,,,,,,,-1,,,,,
,,,,0,,,,,,12,,,,,,,,,,,,,-1,,,,,
,,,,0,,,,,,20,,,,,,,,,,,,,493,,,,,
,,,,0,,,,,,6,,,,,,,,,,,,,6,,,,,
,,,,0,,,,,,25,,,,,,,,,,,,,22,,,,,
,,,,0,,,,,,4,,,,,,,,,,,,,23,,,,,
,,,,0,,,,,,0,,,,,,,,,,,,,513,,,,,
,,,,0,,,,,,26,,,,,,,,,,,,,908,,,,,
,,,,0,,,,,,1,,,,,,,,,,,,,2,,,,,
,,,,0,,,,,,19,,,,,,,,,,,,,39,,,,,
,,,,0,,,,,,1,,,,,,,,,,,,,13,,,,,
,,,,0,,,,,,0,,,,,,,,,,,,,4,,,,,
,,,,0,,,,,,120,,,,,,,,,,,,,4,,,,,
,,,,0,,,,,,0,,,,,,,,,,,,,1,,,,,
,,,,0,,,,,,30,,,,,,,,,,,,,0,,,,,
,,,,0,,,,,,455,,,,,,,,,,,,,0,,,,,
,,,,0,,,,,,0,,,,,,,,,,,,,0,,,,,
,,,,0,,,,,,-1,,,,,,,,,,,,,0,,,,,
,,,,0,,,,,,5,,,,,,,,,,,,,47,,,,,
,,,,0,,,,,,33,,,,,,,,,,,,,2,,,,,
,,,,0,,,,,,6,,,,,,,,,,,,,2,,,,,
,,,,0,,,,,,0,,,,,,,,,,,,,6,,,,,
,,,,0,,,,,,0,,,,,,,,,,,,,13,,,,,
,,,,0,,,,,,456,,,,,,,,,,,,,6,,,,,
,,,,0,,,,,,-1,,,,,,,,,,,,,5,,,,,
,,,,0,,,,,,10,,,,,,,,,,,,,2,,,,,
,,,,0,,,,,,4,,,,,,,,,,,,,-1,,,,,
,,,,0,,,,,,5,,,,,,,,,,,,,-1,,,,,
,,,,0,,,,,,15,,,,,,,,,,,,,3,,,,,
,,,,0,,,,,,147,,,,,,,,,,,,,0,,,,,
,,,,0,,,,,,10,,,,,,,,,,,,,-1,,,,,
,,,,0,,,,,,4,,,,,,,,,,,,,-1,,,,,
,,,,0,,,,,,5,,,,,,,,,,,,,-1,,,,,
,,,,0,,,,,,22,,,,,,,,,,,,,1037,,,,,
,,,,0,,,,,,9,,,,,,,,,,,,,-1,,,,,
,,,,0,,,,,,4,,,,,,,,,,,,,100,,,,,
,,,,0,,,,,,-1,,,,,,,,,,,,,-1,,,,,
,,,,0,,,,,,124,,,,,,,,,,,,,28,,,,,
,,,,0,,,,,,8,,,,,,,,,,,,,1,,,,,
,,,,0,,,,,,49,,,,,,,,,,,,,-1,,,,,
,,,,0,,,,,,27,,,,,,,,,,,,,-1,,,,,
,,,,0,,,,,,-1,,,,,,,,,,,,,1,,,,,
,,,,0,,,,,,4,,,,,,,,,,,,,27,,,,,
,,,,0,,,,,,0,,,,,,,,,,,,,-1,,,,,
,,,,0,,,,,,7,,,,,,,,,,,,,3,,,,,
,,,,0,,,,,,3,,,,,,,,,,,,,-1,,,,,
,,,,0,,,,,,1174,,,,,,,,,,,,,397,,,,,
,,,,0,,,,,,15,,,,,,,,,,,,,-1,,,,,
,,,,0,,,,,,-1,,,,,,,,,,,,,-1,,,,,
,,,,0,,,,,,13,,,,,,,,,,,,,69,,,,,
,,,,0,,,,,,4,,,,,,,,,,,,,606,,,,,
,,,,0,,,,,,14,,,,,,,,,,,,,-1,,,,,
,,,,0,,,,,,-1,,,,,,,,,,,,,-1,,,,,
,,,,0,,,,,,32,,,,,,,,,,,,,-1,,,,,
,,,,0,,,,,,0,,,,,,,,,,,,,-1,,,,,
,,,,0,,,,,,205,,,,,,,,,,,,,-1,,,,,
,,,,0,,,,,,18,,,,,,,,,,,,,-1,,,,,
,,,,0,,,,,,6,,,,,,,,,,,,,9,,,,,
,,,,0,,,,,,7,,,,,,,,,,,,,10,,,,,
,,,,0,,,,,,0,,,,,,,,,,,,,0,,,,,
,,,,0,,,,,,9,,,,,,,,,,,,,23,,,,,
,,,,0,,,,,,31,,,,,,,,,,,,,0,,,,,
,,,,0,,,,,,-1,,,,,,,,,,,,,34,,,,,
,,,,0,,,,,,25,,,,,,,,,,,,,98,,,,,
,,,,0,,,,,,1,,,,,,,,,,,,,13,,,,,
,,,,,,,,,,13,,,,,,,,,,,,,243,,,,,
,,,,,,,,,,1,,,,,,,,,,,,,58,,,,,
,,,,,,,,,,-1,,,,,,,,,,,,,33,,,,,
,,,,,,,,,,10,,,,,,,,,,,,,5,,,,,
,,,,,,,,,,1,,,,,,,,,,,,,-1,,,,,
,,,,,,,,,,8,,,,,,,,,,,,,848,,,,,
,,,,,,,,,,-1,,,,,,,,,,,,,325,,,,,
,,,,,,,,,,11,,,,,,,,,,,,,0,,,,,
,,,,,,,,,,27,,,,,,,,,,,,,310,,,,,
,,,,,,,,,,1,,,,,,,,,,,,,0,,,,,
,,,,,,,,,,1,,,,,,,,,,,,,12,,,,,
,,,,,,,,,,3,,,,,,,,,,,,,0,,,,,
,,,,,,,,,,0,,,,,,,,,,,,,-1,,,,,
,,,,,,,,,,3,,,,,,,,,,,,,-1,,,,,
,,,,,,,,,,11,,,,,,,,,,,,,40,,,,,
,,,,,,,,,,6,,,,,,,,,,,,,653,,,,,
,,,,,,,,,,23,,,,,,,,,,,,,-1,,,,,
,,,,,,,,,,0,,,,,,,,,,,,,-1,,,,,
,,,,,,,,,,21,,,,,,,,,,,,,13,,,,,
,,,,,,,,,,-1,,,,,,,,,,,,,361,,,,,
,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,
,,,,,,,,,,8,,,,,,,,,,,,,19,,,,,
,,,,,,,,,,4,,,,,,,,,,,,,7,,,,,
,,,,,,,,,,3,,,,,,,,,,,,,4,,,,,
,,,,,,,,,,-1,,,,,,,,,,,,,0,,,,,
,,,,,,,,,,16,,,,,,,,,,,,,0,,,,,
,,,,,,,,,,7,,,,,,,,,,,,,-1,,,,,
,,,,,,,,,,7,,,,,,,,,,,,,4,,,,,
,,,,,,,,,,7,,,,,,,,,,,,,-1,,,,,
,,,,,,,,,,-1,,,,,,,,,,,,,-1,,,,,
,,,,,,,,,,3,,,,,,,,,,,,,8,,,,,
,,,,,,,,,,7,,,,,,,,,,,,,-1,,,,,
,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,
,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,
,,,,,,,,,,-1,,,,,,,,,,,,,68,,,,,
,,,,,,,,,,135,,,,,,,,,,,,,48,,,,,
,,,,,,,,,,30,,,,,,,,,,,,,-1,,,,,
,,,,,,,,,,10,,,,,,,,,,,,,6,,,,,
,,,,,,,,,,13,,,,,,,,,,,,,48,,,,,
,,,,,,,,,,5,,,,,,,,,,,,,50,,,,,
,,,,,,,,,,107,,,,,,,,,,,,,-1,,,,,
,,,,,,,,,,0,,,,,,,,,,,,,-1,,,,,
,,,,,,,,,,3,,,,,,,,,,,,,-1,,,,,
,,,,,,,,,,0,,,,,,,,,,,,,-1,,,,,
,,,,,,,,,,42,,,,,,,,,,,,,48,,,,,
,,,,,,,,,,4,,,,,,,,,,,,,-1,,,,,
,,,,,,,,,,0,,,,,,,,,,,,,-1,,,,,
,,,,,,,,,,-1,,,,,,,,,,,,,32,,,,,
,,,,,,,,,,17,,,,,,,,,,,,,130,,,,,
,,,,,,,,,,45,,,,,,,,,,,,,164,,,,,
,,,,,,,,,,0,,,,,,,,,,,,,-1,,,,,
,,,,,,,,,,4,,,,,,,,,,,,,142,,,,,
,,,,,,,,,,5,,,,,,,,,,,,,35,,,,,
,,,,,,,,,,-1,,,,,,,,,,,,,0,,,,,
,,,,,,,,,,7,,,,,,,,,,,,,14,,,,,
,,,,,,,,,,-1,,,,,,,,,,,,,0,,,,,
,,,,,,,,,,-1,,,,,,,,,,,,,-1,,,,,
,,,,,,,,,,-1,,,,,,,,,,,,,7,,,,,
,,,,,,,,,,-1,,,,,,,,,,,,,-1,,,,,
,,,,,,,,,,-1,,,,,,,,,,,,,1,,,,,
,,,,,,,,,,0,,,,,,,,,,,,,114,,,,,
,,,,,,,,,,12,,,,,,,,,,,,,3,,,,,
,,,,,,,,,,0,,,,,,,,,,,,,17,,,,,
,,,,,,,,,,64,,,,,,,,,,,,,207,,,,,
,,,,,,,,,,0,,,,,,,,,,,,,3,,,,,
,,,,,,,,,,6,,,,,,,,,,,,,579,,,,,
,,,,,,,,,,0,,,,,,,,,,,,,-1,,,,,
,,,,,,,,,,0,,,,,,,,,,,,,7,,,,,
,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,
,,,,,,,,,,9,,,,,,,,,,,,,-1,,,,,
,,,,,,,,,,4,,,,,,,,,,,,,-1,,,,,
,,,,,,,,,,8,,,,,,,,,,,,,13,,,,,
,,,,,,,,,,31,,,,,,,,,,,,,-1,,,,,
,,,,,,,,,,17,,,,,,,,,,,,,-1,,,,,
,,,,,,,,,,-1,,,,,,,,,,,,,-1,,,,,
,,,,,,,,,,-1,,,,,,,,,,,,,3,,,,,
,,,,,,,,,,7,,,,,,,,,,,,,-1,,,,,
,,,,,,,,,,8,,,,,,,,,,,,,-1,,,,,
,,,,,,,,,,398,,,,,,,,,,,,,-1,,,,,
,,,,,,,,,,212,,,,,,,,,,,,,0,,,,,
,,,,,,,,,,-1,,,,,,,,,,,,,-1,,,,,
,,,,,,,,,,592,,,,,,,,,,,,,6,,,,,
,,,,,,,,,,25,,,,,,,,,,,,,117,,,,,
,,,,,,,,,,-1,,,,,,,,,,,,,6,,,,,
,,,,,,,,,,-1,,,,,,,,,,,,,21,,,,,
,,,,,,,,,,3,,,,,,,,,,,,,0,,,,,
,,,,,,,,,,2,,,,,,,,,,,,,39,,,,,
,,,,,,,,,,-1,,,,,,,,,,,,,2,,,,,
,,,,,,,,,,30,,,,,,,,,,,,,38,,,,,
,,,,,,,,,,1,,,,,,,,,,,,,2,,,,,
,,,,,,,,,,33,,,,,,,,,,,,,14,,,,,
,,,,,,,,,,36,,,,,,,,,,,,,4,,,,,
,,,,,,,,,,25,,,,,,,,,,,,,249,,,,,
,,,,,,,,,,281,,,,,,,,,,,,,-1,,,,,
,,,,,,,,,,9,,,,,,,,,,,,,53,,,,,
,,,,,,,,,,46,,,,,,,,,,,,,-1,,,,,
,,,,,,,,,,7,,,,,,,,,,,,,65,,,,,
,,,,,,,,,,-1,,,,,,,,,,,,,-1,,,,,
,,,,,,,,,,-1,,,,,,,,,,,,,14,,,,,
,,,,,,,,,,5,,,,,,,,,,,,,-1,,,,,
,,,,,,,,,,-1,,,,,,,,,,,,,-1,,,,,
,,,,,,,,,,9,,,,,,,,,,,,,0,,,,,
,,,,,,,,,,9,,,,,,,,,,,,,0,,,,,
,,,,,,,,,,0,,,,,,,,,,,,,-1,,,,,
,,,,,,,,,,0,,,,,,,,,,,,,1,,,,,
,,,,,,,,,,0,,,,,,,,,,,,,13,,,,,
,,,,,,,,,,0,,,,,,,,,,,,,60,,,,,
,,,,,,,,,,-1,,,,,,,,,,,,,-1,,,,,
,,,,,,,,,,9,,,,,,,,,,,,,0,,,,,
,,,,,,,,,,3,,,,,,,,,,,,,616,,,,,
,,,,,,,,,,9,,,,,,,,,,,,,-1,,,,,
,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,
,,,,,,,,,,12,,,,,,,,,,,,,335,,,,,
,,,,,,,,,,274,,,,,,,,,,,,,-1,,,,,
,,,,,,,,,,0,,,,,,,,,,,,,-1,,,,,
,,,,,,,,,,80,,,,,,,,,,,,,8,,,,,
,,,,,,,,,,137,,,,,,,,,,,,,62,,,,,
,,,,,,,,,,-1,,,,,,,,,,,,,33,,,,,
,,,,,,,,,,4,,,,,,,,,,,,,696,,,,,
,,,,,,,,,,15,,,,,,,,,,,,,33,,,,,
,,,,,,,,,,243,,,,,,,,,,,,,-1,,,,,
,,,,,,,,,,90,,,,,,,,,,,,,-1,,,,,
,,,,,,,,,,0,,,,,,,,,,,,,162,,,,,
,,,,,,,,,,10,,,,,,,,,,,,,222,,,,,
,,,,,,,,,,23,,,,,,,,,,,,,-1,,,,,
,,,,,,,,,,46,,,,,,,,,,,,,499,,,,,
,,,,,,,,,,34,,,,,,,,,,,,,16,,,,,
